"","NUTS2","NUTS2 Name","Jahr","Bevoelkerung","GISD_Score","TS_Bildung","TS_Einkommen","TS_Arbeitswelt","GISD_5","GISD_10","GISD_k"
"189","DE26","Unterfranken",2006,1313375,0.458958,0.468213054427803,0.810083957209482,0.474044761232257,2,3,2
"190","DE26","Unterfranken",2007,1313375,0.410505,0.441384946317677,0.798286602575631,0.442582997181554,2,3,2
"191","DE26","Unterfranken",2008,1313375,0.382217,0.432830226687188,0.783024919350633,0.425481695025944,2,4,2
"192","DE26","Unterfranken",2009,1313375,0.367269,0.398519861056736,0.784482431687666,0.436711612515312,2,3,2
"193","DE26","Unterfranken",2010,1313375,0.342095,0.380886131540397,0.784663796460451,0.417750893436847,2,3,2
"194","DE26","Unterfranken",2011,1313375,0.290153,0.353474554858425,0.770741392023648,0.383951218195465,2,3,2
"195","DE26","Unterfranken",2012,1313375,0.270286,0.352373694892586,0.763842794849172,0.363213590253556,2,3,2
"196","DE26","Unterfranken",2013,1313375,0.258937,0.354291201631797,0.756218954594779,0.352503205662631,2,4,2
"197","DE26","Unterfranken",2014,1313375,0.237154,0.350606446483775,0.747016274162986,0.33388250674671,2,3,2
"198","DE26","Unterfranken",2015,1313375,0.224168,0.357092048066718,0.738458596042523,0.317170628322781,2,4,2
"199","DE26","Unterfranken",2016,1313375,0.231917,0.387287269806274,0.735062848021094,0.301579692564669,2,4,2
"200","DE26","Unterfranken",2017,1313375,0.199154,0.381497754071035,0.719561269260327,0.275479859494378,2,4,2
"201","DE27","Schwaben",1998,1873368,0.603889,0.579468680110449,0.854482223173019,0.528031051027255,2,4,2
"202","DE27","Schwaben",1999,1873368,0.561885,0.54259539129412,0.847857566785623,0.51077045184533,2,3,2
"203","DE27","Schwaben",2000,1873368,0.552059,0.572532170636844,0.839008350455121,0.475470410875117,2,4,2
"204","DE27","Schwaben",2001,1873368,0.51017,0.563223590975301,0.818423407195095,0.444771656241563,2,3,2
"205","DE27","Schwaben",2002,1873368,0.502589,0.547443037565476,0.818508770156857,0.44950078617717,2,4,2
"206","DE27","Schwaben",2003,1873368,0.490241,0.517029844909391,0.816252430664613,0.464309208492105,2,3,2
"207","DE27","Schwaben",2004,1873368,0.482415,0.504433880970718,0.815075840637717,0.466761207703986,2,3,2
"208","DE27","Schwaben",2005,1873368,0.486943,0.502235713149351,0.815179203735384,0.475406340420163,2,4,2
"209","DE27","Schwaben",2006,1873368,0.445646,0.46905459811008,0.80819349330375,0.455837932706918,2,3,2
"210","DE27","Schwaben",2007,1873368,0.401661,0.449427437728151,0.796153062360834,0.423881990744165,1,2,1
"211","DE27","Schwaben",2008,1873368,0.358186,0.424462915051601,0.779817493239247,0.402295210870154,2,3,2
"212","DE27","Schwaben",2009,1873368,0.360534,0.413282077846502,0.779963249715824,0.416727162327484,2,3,2
"213","DE27","Schwaben",2010,1873368,0.338866,0.398985623502094,0.78085400889175,0.398789664945222,2,3,2
"214","DE27","Schwaben",2011,1873368,0.273251,0.348923363819952,0.769864075144181,0.364930516329109,2,3,2
"215","DE27","Schwaben",2012,1873368,0.236952,0.326982214028622,0.761386480434568,0.342843932139363,1,2,1
"216","DE27","Schwaben",2013,1873368,0.246497,0.362742585134174,0.754181653217875,0.328094564193941,2,3,2
"217","DE27","Schwaben",2014,1873368,0.214377,0.342331805751478,0.745448844770875,0.310777163260575,1,2,1
"218","DE27","Schwaben",2015,1873368,0.200408,0.342759479574326,0.737895554164552,0.297697526585684,2,3,2
"219","DE27","Schwaben",2016,1873368,0.191125,0.351747903736663,0.733051054305393,0.28012592880897,2,3,2
"220","DE27","Schwaben",2017,1873368,0.173561,0.367748251644409,0.720413976883484,0.251356682784599,2,3,2
"221","DE30","Berlin",1998,3613495,0.812953,0.654655643480968,0.935842542725634,0.673891916743019,5,9,3
"222","DE30","Berlin",1999,3613495,0.784603,0.631671801780601,0.930271384319244,0.661438669706588,5,9,3
"223","DE30","Berlin",2000,3613495,0.735185,0.607334005559358,0.91437192008112,0.630194160725972,5,9,3
"224","DE30","Berlin",2001,3613495,0.668207,0.56058299906487,0.894261019361407,0.600172588828724,5,9,3
"225","DE30","Berlin",2002,3613495,0.667064,0.544086997022788,0.896874479447489,0.61240216083381,5,9,3
"226","DE30","Berlin",2003,3613495,0.680411,0.543458352514756,0.896775859222211,0.632435523537403,5,9,3
"227","DE30","Berlin",2004,3613495,0.660151,0.50841886090135,0.90176105166538,0.633184432855431,5,9,3
"228","DE30","Berlin",2005,3613495,0.654755,0.472679256935691,0.908214197900734,0.654665470458811,5,9,3
"229","DE30","Berlin",2006,3613495,0.633374,0.459044275993644,0.906886946245123,0.638700470795846,5,9,3
"230","DE30","Berlin",2007,3613495,0.60649,0.452250289322095,0.902610507458499,0.61088358343388,5,9,3
"231","DE30","Berlin",2008,3613495,0.562128,0.436876812768355,0.885587146575341,0.579111266154396,5,9,3
"232","DE30","Berlin",2009,3613495,0.527625,0.408566092947365,0.871870855392967,0.571229331200192,5,9,3
"233","DE30","Berlin",2010,3613495,0.515173,0.406348962614243,0.872496288726076,0.554809986729535,5,9,3
"234","DE30","Berlin",2011,3613495,0.467485,0.386682128467952,0.855312126865063,0.52268100493879,5,9,3
"235","DE30","Berlin",2012,3613495,0.410216,0.330163792681925,0.851105546063415,0.500566929034894,4,8,2
"236","DE30","Berlin",2013,3613495,0.399643,0.33299242290848,0.847100076178091,0.486450400910087,4,8,2
"237","DE30","Berlin",2014,3613495,0.391654,0.351284494384472,0.841553415161766,0.462149068088984,4,8,2
"238","DE30","Berlin",2015,3613495,0.37413,0.373603680119636,0.832601189919422,0.423433152723085,4,8,2
"239","DE30","Berlin",2016,3613495,0.306288,0.309446808877335,0.826692552736649,0.395366627807349,4,7,2
"240","DE30","Berlin",2017,3613495,0.286524,0.32404313981258,0.820026409241035,0.358848317145302,3,6,2
"241","DE40","Brandenburg",1998,2504040,0.812103,0.634940620178594,0.925319569279275,0.702900315879081,5,9,3
"242","DE40","Brandenburg",1999,2504040,0.798211,0.626358276490016,0.920935837894226,0.695771913243766,5,9,3
"243","DE40","Brandenburg",2000,2504040,0.783424,0.629417180865165,0.915541323030691,0.676718196177956,5,9,3
"244","DE40","Brandenburg",2001,2504040,0.758656,0.621837749803293,0.910575826754274,0.653436614421343,5,9,3
"245","DE40","Brandenburg",2002,2504040,0.758907,0.618449022157758,0.908751182054444,0.659012926028181,5,9,3
"246","DE40","Brandenburg",2003,2504040,0.753584,0.596868585508319,0.906467538044311,0.675177274269434,5,9,3
"247","DE40","Brandenburg",2004,2504040,0.764188,0.604186913580007,0.907371332928336,0.682293021843344,5,10,3
"248","DE40","Brandenburg",2005,2504040,0.773608,0.61886359264006,0.909310935741374,0.67930324511543,5,10,3
"249","DE40","Brandenburg",2006,2504040,0.764032,0.633081698732054,0.903857428516931,0.656686856654173,5,10,3
"250","DE40","Brandenburg",2007,2504040,0.721785,0.617866405195574,0.894723944204335,0.619925903998028,5,10,3
"251","DE40","Brandenburg",2008,2504040,0.672291,0.604744560764022,0.87226138343524,0.583918579594073,5,10,3
"252","DE40","Brandenburg",2009,2504040,0.621381,0.560990736974468,0.859026385813374,0.56726690682981,5,9,3
"253","DE40","Brandenburg",2010,2504040,0.598987,0.552009498272546,0.860215622814233,0.542666062010181,5,9,3
"254","DE40","Brandenburg",2011,2504040,0.576893,0.559812827347234,0.847043921426767,0.516075785080452,5,9,3
"255","DE40","Brandenburg",2012,2504040,0.526178,0.503543709932989,0.846043610384417,0.499986309243507,5,9,3
"256","DE40","Brandenburg",2013,2504040,0.52889,0.535872612906636,0.837933031482136,0.479691748215414,5,9,3
"257","DE40","Brandenburg",2014,2504040,0.510461,0.534772052557467,0.834683728237496,0.457383183271029,5,9,3
"258","DE40","Brandenburg",2015,2504040,0.464131,0.503992744090305,0.826378080907434,0.42945262850949,5,9,3
"259","DE40","Brandenburg",2016,2504040,0.434941,0.490849201795882,0.821206503326775,0.40554556232443,5,9,3
"260","DE40","Brandenburg",2017,2504040,0.404101,0.485599486433577,0.811203890115218,0.376188520335123,5,9,3
"261","DE50","Bremen",1998,681032,0.719995,0.550634657304861,0.933314021550298,0.645979250203538,4,8,2
"262","DE50","Bremen",1999,681032,0.662031,0.483650212215931,0.928405648072454,0.634028014526508,4,7,2
"263","DE50","Bremen",2000,681032,0.633789,0.491378041584778,0.911450898805397,0.602402077918694,4,7,2
"264","DE50","Bremen",2001,681032,0.592647,0.509872283985514,0.883206175020912,0.55264248537588,3,6,2
"265","DE50","Bremen",2002,681032,0.56509,0.46175461889243,0.886099337919846,0.558005762159139,3,6,2
"266","DE50","Bremen",2003,681032,0.574791,0.470367469047018,0.886192691551728,0.563331209807373,3,6,2
"267","DE50","Bremen",2004,681032,0.591163,0.491982946063306,0.882106142933479,0.569484446388504,4,8,2
"268","DE50","Bremen",2005,681032,0.59208,0.450982930189371,0.888156743491692,0.605760949486448,4,7,2
"269","DE50","Bremen",2006,681032,0.536167,0.396919553122895,0.884515198248291,0.582587711971034,3,6,2
"270","DE50","Bremen",2007,681032,0.51347,0.400990587749803,0.880468028216568,0.549733281865888,4,7,2
"271","DE50","Bremen",2008,681032,0.449392,0.369215646443263,0.853363566550902,0.515925211247727,3,6,2
"272","DE50","Bremen",2009,681032,0.435032,0.337177623736437,0.860349864066872,0.520205427004938,3,5,2
"273","DE50","Bremen",2010,681032,0.406982,0.302917633623525,0.864104849691009,0.510136421548511,3,5,2
"274","DE50","Bremen",2011,681032,0.404769,0.338945958127153,0.853087102788903,0.481925045802921,4,7,2
"275","DE50","Bremen",2012,681032,0.361698,0.297492543954664,0.848341560066505,0.465822402626793,3,6,2
"276","DE50","Bremen",2013,681032,0.372556,0.333843870578201,0.845585747933779,0.447932751567516,4,7,2
"277","DE50","Bremen",2014,681032,0.357215,0.329787883494923,0.842538491652595,0.432845060000853,4,7,2
"278","DE50","Bremen",2015,681032,0.315668,0.293066203511084,0.83902599610488,0.412982653220812,3,6,2
"279","DE50","Bremen",2016,681032,0.29606,0.28796145349364,0.834471709251129,0.394278269498191,3,6,2
"280","DE50","Bremen",2017,681032,0.301951,0.331557152581477,0.826494759677711,0.367180770815008,4,7,2
"281","DE60","Hamburg",1998,1830584,0.604479,0.563171740886816,0.872890948682457,0.526772931870694,2,4,2
"282","DE60","Hamburg",1999,1830584,0.588189,0.573529001919111,0.863310322801397,0.502432101175851,3,5,2
"283","DE60","Hamburg",2000,1830584,0.566777,0.588054515920631,0.849419784920459,0.470825341205919,3,5,2
"284","DE60","Hamburg",2001,1830584,0.515504,0.585214697671844,0.812856316097024,0.436063296305829,2,3,2
"285","DE60","Hamburg",2002,1830584,0.493894,0.546986477697337,0.815467913909391,0.440420655003672,2,3,2
"286","DE60","Hamburg",2003,1830584,0.491943,0.532622483121966,0.812141906584557,0.455288911779957,2,3,2
"287","DE60","Hamburg",2004,1830584,0.477927,0.517318188613448,0.807969113012499,0.454492122907923,2,3,2
"288","DE60","Hamburg",2005,1830584,0.494081,0.516893311139736,0.814794284695257,0.471458685399574,2,4,2
"289","DE60","Hamburg",2006,1830584,0.475849,0.509493641804462,0.807372397495441,0.45990798698684,2,4,2
"290","DE60","Hamburg",2007,1830584,0.418795,0.459441513576227,0.806805169156749,0.427998938269417,2,4,2
"291","DE60","Hamburg",2008,1830584,0.336433,0.39465100376294,0.783675327296629,0.396784734061772,1,2,1
"292","DE60","Hamburg",2009,1830584,0.317604,0.372912261139285,0.779718021130797,0.395244061075862,1,2,1
"293","DE60","Hamburg",2010,1830584,0.271155,0.310181231924004,0.78861498907913,0.381890208477442,1,1,1
"294","DE60","Hamburg",2011,1830584,0.243741,0.334856304352163,0.763528416948081,0.342648627019759,1,2,1
"295","DE60","Hamburg",2012,1830584,0.216064,0.324850753995845,0.755850268087659,0.320297584225599,1,2,1
"296","DE60","Hamburg",2013,1830584,0.155731,0.263746847129842,0.750188162294296,0.299792109578754,1,1,1
"297","DE60","Hamburg",2014,1830584,0.130856,0.243213497641807,0.74960288468292,0.28493069744789,1,1,1
"298","DE60","Hamburg",2015,1830584,0.109399,0.242949029933415,0.739258151619755,0.264501780653118,1,1,1
"299","DE60","Hamburg",2016,1830584,0.088221,0.238802016994987,0.73534934957583,0.241924507114452,1,1,1
"300","DE60","Hamburg",2017,1830584,0.038454,0.205402429961484,0.721151857746949,0.217534391621317,1,1,1
"301","DE71","Darmstadt",1998,3978050,0.540516,0.487419229074335,0.870514696723698,0.512379060686821,1,2,1
"302","DE71","Darmstadt",1999,3978050,0.538899,0.517600148242762,0.86111737745564,0.489257183213999,1,2,1
"303","DE71","Darmstadt",2000,3978050,0.510184,0.520070148020379,0.846503108183561,0.459865124074736,1,2,1
"304","DE71","Darmstadt",2001,3978050,0.430985,0.490505180628649,0.809393341444735,0.411979835134527,1,2,1
"305","DE71","Darmstadt",2002,3978050,0.417572,0.470100575441238,0.810824808123605,0.411551939820527,1,1,1
"306","DE71","Darmstadt",2003,3978050,0.422884,0.466889416722192,0.810454519093178,0.42281703885344,1,2,1
"307","DE71","Darmstadt",2004,3978050,0.414371,0.443810292152412,0.81189155630742,0.432144202588776,1,2,1
"308","DE71","Darmstadt",2005,3978050,0.419406,0.432793817901429,0.814669912098013,0.447666251163577,1,2,1
"309","DE71","Darmstadt",2006,3978050,0.394195,0.411509716218087,0.807602680621059,0.439550035890266,1,2,1
"310","DE71","Darmstadt",2007,3978050,0.362277,0.403060274810322,0.799235854774516,0.410198007135711,1,2,1
"311","DE71","Darmstadt",2008,3978050,0.301259,0.363357060789271,0.78403037460017,0.376844665918993,1,2,1
"312","DE71","Darmstadt",2009,3978050,0.298311,0.355705277560079,0.784624090847032,0.379637927134764,1,1,1
"313","DE71","Darmstadt",2010,3978050,0.268781,0.318521284494902,0.788270589143466,0.370460611381096,1,1,1
"314","DE71","Darmstadt",2011,3978050,0.223606,0.290549642506298,0.777709971010957,0.343648478739947,1,1,1
"315","DE71","Darmstadt",2012,3978050,0.203297,0.282638861017988,0.77013601400555,0.329756672413379,1,2,1
"316","DE71","Darmstadt",2013,3978050,0.17161,0.252926762574367,0.766048862084724,0.317720146506171,1,1,1
"317","DE71","Darmstadt",2014,3978050,0.15376,0.251410356298422,0.757581951716545,0.301884273616105,1,1,1
"318","DE71","Darmstadt",2015,3978050,0.121422,0.232498993002266,0.750522290901621,0.28107943042455,1,1,1
"319","DE71","Darmstadt",2016,3978050,0.113422,0.249627511138137,0.743687338071332,0.25921396771137,1,1,1
"320","DE71","Darmstadt",2017,3978050,0.072162,0.224150670255275,0.730586131799156,0.238109092420255,1,1,1
"321","DE72","Gießen",1998,1045807,0.611322,0.510610419172925,0.88528799685467,0.576834632591833,3,5,2
"322","DE72","Gießen",1999,1045807,0.597774,0.517555075322549,0.878011290626135,0.557570099367617,3,5,2
"323","DE72","Gießen",2000,1045807,0.570587,0.528179645213197,0.869654148046249,0.515976646745998,3,5,2
"324","DE72","Gießen",2001,1045807,0.52282,0.528858282643187,0.840520057978723,0.475338521042909,2,4,2
"325","DE72","Gießen",2002,1045807,0.49617,0.488166546761785,0.841589996643984,0.476410692637266,2,3,2
"326","DE72","Gießen",2003,1045807,0.51483,0.508381674153598,0.842185847865653,0.48259130002453,2,4,2
"327","DE72","Gießen",2004,1045807,0.492632,0.469832244686298,0.842261005330801,0.488956865843646,2,4,2
"328","DE72","Gießen",2005,1045807,0.49126,0.443570240893377,0.843980955484449,0.511514252965013,2,4,2
"329","DE72","Gießen",2006,1045807,0.476827,0.444325903146931,0.837061339347636,0.49680136073338,2,4,2
"330","DE72","Gießen",2007,1045807,0.446946,0.438869021701524,0.828384424266403,0.467712900180418,3,5,2
"331","DE72","Gießen",2008,1045807,0.397527,0.391620966984303,0.813006225901117,0.458855449219936,2,4,2
"332","DE72","Gießen",2009,1045807,0.386902,0.370648450112513,0.812436181875806,0.46502870622141,2,4,2
"333","DE72","Gießen",2010,1045807,0.362575,0.348472394150629,0.814777823734161,0.449675009617182,2,4,2
"334","DE72","Gießen",2011,1045807,0.328559,0.339234509964666,0.805114847906326,0.419371298504326,3,5,2
"335","DE72","Gießen",2012,1045807,0.295286,0.310321718006232,0.799926475155324,0.405344424186651,2,4,2
"336","DE72","Gießen",2013,1045807,0.280322,0.308214566787468,0.794534779808644,0.391197526842936,2,4,2
"337","DE72","Gießen",2014,1045807,0.276474,0.326242308818767,0.787599841849919,0.374539027409308,2,4,2
"338","DE72","Gießen",2015,1045807,0.241707,0.296866575061411,0.783428860311928,0.35779518065356,2,4,2
"339","DE72","Gießen",2016,1045807,0.240328,0.323358685085818,0.775760132988601,0.336976730189471,2,4,2
"340","DE72","Gießen",2017,1045807,0.211317,0.312147138708126,0.764372538869419,0.317611911976223,2,4,2
"341","DE73","Kassel",1998,1219405,0.668987,0.566634792411023,0.900811010065598,0.588699422793266,3,6,2
"342","DE73","Kassel",1999,1219405,0.651369,0.566339223887012,0.894041243158177,0.570280692930562,3,6,2
"343","DE73","Kassel",2000,1219405,0.653463,0.619928556351459,0.885985102334502,0.527776353302505,4,7,2
"344","DE73","Kassel",2001,1219405,0.594365,0.5939156785475,0.856137750209047,0.498151718724819,4,7,2
"345","DE73","Kassel",2002,1219405,0.563918,0.552169562739398,0.85640135416167,0.495593030011467,3,6,2
"346","DE73","Kassel",2003,1219405,0.582133,0.577145234162836,0.857085728324692,0.496281427006714,4,7,2
"347","DE73","Kassel",2004,1219405,0.570248,0.560305585034398,0.852980156357261,0.500034648569214,4,7,2
"348","DE73","Kassel",2005,1219405,0.560038,0.522588548683311,0.856639906930144,0.519323907710258,3,6,2
"349","DE73","Kassel",2006,1219405,0.545084,0.527963182793212,0.853031471888469,0.495926442517031,4,7,2
"350","DE73","Kassel",2007,1219405,0.513428,0.523208668154845,0.845601493197957,0.462320952030274,4,7,2
"351","DE73","Kassel",2008,1219405,0.440634,0.438517611514057,0.831431257011569,0.45588751422271,3,5,2
"352","DE73","Kassel",2009,1219405,0.445704,0.441265360750675,0.831429738239339,0.460474705354522,3,6,2
"353","DE73","Kassel",2010,1219405,0.414734,0.423379388699123,0.831814264353929,0.433178587992442,3,6,2
"354","DE73","Kassel",2011,1219405,0.36778,0.397188733716924,0.823317960258782,0.399947170607188,3,5,2
"355","DE73","Kassel",2012,1219405,0.352079,0.396207559923813,0.819349952872819,0.382184365709396,3,6,2
"356","DE73","Kassel",2013,1219405,0.323238,0.377062444741211,0.814693750217137,0.364267692090272,3,5,2
"357","DE73","Kassel",2014,1219405,0.316349,0.389727334870085,0.808093000251445,0.348239416569496,3,6,2
"358","DE73","Kassel",2015,1219405,0.274371,0.353726860285977,0.8021774281395,0.32943492377869,3,5,2
"359","DE73","Kassel",2016,1219405,0.26986,0.370913030326082,0.796036525835365,0.311864456623635,3,6,2
"360","DE73","Kassel",2017,1219405,0.228337,0.349313046928303,0.783764733977849,0.285673364297897,3,5,2
"361","DE80","Mecklenburg-Vorpommern",1998,1611119,0.879476,0.66952149011901,0.93982059602315,0.751272419254754,5,10,3
"362","DE80","Mecklenburg-Vorpommern",1999,1611119,0.872322,0.685377870389609,0.934262358637933,0.730625825857019,5,10,3
"363","DE80","Mecklenburg-Vorpommern",2000,1611119,0.864568,0.694246126303321,0.929934786508772,0.714868702700864,5,10,3
"364","DE80","Mecklenburg-Vorpommern",2001,1611119,0.893282,0.770370859687279,0.924354985223196,0.685859268984508,5,10,3
"365","DE80","Mecklenburg-Vorpommern",2002,1611119,0.834762,0.678828829361741,0.923479031904954,0.693628806120156,5,10,3
"366","DE80","Mecklenburg-Vorpommern",2003,1611119,0.836396,0.663479609861494,0.920391033008648,0.714429845986629,5,10,3
"367","DE80","Mecklenburg-Vorpommern",2004,1611119,0.825445,0.641501301782877,0.919766410868262,0.721192176424991,5,10,3
"368","DE80","Mecklenburg-Vorpommern",2005,1611119,0.845974,0.664408448793138,0.923905656899061,0.723840303901711,5,10,3
"369","DE80","Mecklenburg-Vorpommern",2006,1611119,0.841477,0.682686978199733,0.919108193951891,0.703854501578258,5,10,3
"370","DE80","Mecklenburg-Vorpommern",2007,1611119,0.781656,0.642143193888546,0.911135920094178,0.665839762496024,5,10,3
"371","DE80","Mecklenburg-Vorpommern",2008,1611119,0.722329,0.618784841122389,0.89106704906848,0.623451262108085,5,10,3
"372","DE80","Mecklenburg-Vorpommern",2009,1611119,0.747305,0.684835744782415,0.878802229513531,0.605792622525992,5,10,3
"373","DE80","Mecklenburg-Vorpommern",2010,1611119,0.753316,0.71393237682639,0.879259791818302,0.584933767821454,5,10,3
"374","DE80","Mecklenburg-Vorpommern",2011,1611119,0.737821,0.724107233627472,0.868566198508059,0.563039679725084,5,10,3
"375","DE80","Mecklenburg-Vorpommern",2012,1611119,0.675556,0.657946226670322,0.867056378882745,0.540644221729661,5,10,3
"376","DE80","Mecklenburg-Vorpommern",2013,1611119,0.644065,0.633259638721601,0.862203191974206,0.524632719925223,5,10,3
"377","DE80","Mecklenburg-Vorpommern",2014,1611119,0.574431,0.560758333208667,0.857056190937616,0.501557316578975,5,10,3
"378","DE80","Mecklenburg-Vorpommern",2015,1611119,0.53223,0.532973447834813,0.849871449483371,0.475482578113469,5,10,3
